admit,gre,gpa,rank,prob,prob_resp
NA,620,3.69,3,0.2748598242529024,N
NA,580,2.86,4,0.009370517802386798,N
NA,560,2.52,2,0.3136436584297513,N
NA,660,3.49,2,0.4017729151802687,Y
NA,520,2.73,2,0.3318617176989603,N
NA,600,3.62,3,0.2613541007802749,N
NA,400,3.51,3,0.24101596726854746,N
NA,800,3.43,2,0.3960618797162714,N
NA,520,2.62,2,0.32225172596109,N
NA,620,3.23,3,0.19427428652709397,N
NA,300,3.01,3,0.1626253376566827,N
NA,620,3.78,3,0.2928469839003583,N
NA,500,3.88,4,0.39828366885917654,N
NA,700,4,2,0.4512475810690021,Y
NA,540,3.84,2,0.43557374390305564,Y
NA,560,3.07,2,0.3624355540019139,N
NA,640,2.94,2,0.35059743814756456,N
NA,800,3.54,3,0.2464538975651105,N
NA,560,3.59,2,0.411350112943505,Y
NA,400,3.23,4,0.04229882792410673,N
NA,700,4,1,0.7276521584109891,Y
NA,420,3.92,4,0.43880150813268326,Y
NA,600,3.89,1,0.700637774264425,Y
NA,640,3.63,1,0.631201874691184,Y
NA,540,3.16,3,0.18372502392368706,N
NA,740,3.34,4,0.0652750437767103,N
NA,580,3.02,2,0.3578617377165183,N
NA,460,2.87,2,0.34429736014807544,N
NA,640,3.38,3,0.21840921719044779,N
NA,600,3.56,2,0.4084695405630594,Y
NA,680,3.99,3,0.33736011610853556,N
NA,480,3.02,1,0.4509391389909281,Y
NA,800,2.9,2,0.34699084793847396,N
NA,620,3.58,2,0.41038923650539605,Y
NA,480,3.43,2,0.3960618797162714,N
NA,580,3.29,4,0.05366248095460882,N
NA,380,3.38,2,0.3913241697017854,N
NA,420,2.67,3,0.12204751898321273,N
NA,660,3.49,2,0.4017729151802687,Y
NA,500,2.86,4,0.009370517802386798,N
NA,700,3.45,3,0.23038790954347016,N
NA,440,2.76,2,0.3345075501561757,N
NA,680,2.96,3,0.15603995129881462,N
NA,620,3.22,2,0.3763044242893341,N
NA,680,3.34,2,0.38754864719370935,N
NA,680,3.64,3,0.2651687925041723,N
NA,640,3.73,3,0.28276906337375146,N
NA,660,3.31,4,0.05805324505952182,N
NA,620,3.21,4,0.03905022546906773,N
NA,520,4,2,0.4512475810690021,Y
NA,540,3.55,4,0.1434380637990162,N
NA,520,3.3,2,0.3837865832919135,N
NA,620,3.95,3,0.32862355166484675,N
NA,520,3.9,3,0.3178678596522135,N
NA,380,3.34,3,0.21176864482101354,N
NA,560,3.24,4,0.044018528326111986,N
NA,680,3.46,2,0.3989139599348622,N
NA,500,2.81,3,0.13758382433039074,N
NA,540,3.33,3,0.21013176326822927,N
NA,520,3.12,2,0.3670344146671846,N
NA,460,3.77,3,0.2908146199792125,N
NA,580,3.58,1,0.6170845023460966,Y
NA,680,3,4,0.016664121848161653,N
NA,660,3.94,2,0.4453568348889718,Y
NA,360,3.27,3,0.2005058217730997,N
NA,660,3.45,4,0.09943585343751267,N
NA,520,3.1,4,0.025057449436036876,N
NA,440,3.39,2,0.39227010577921934,N
NA,800,3.22,1,0.5109637067774353,Y
NA,420,2.26,4,7.766961539801471e-4,N
NA,680,3.7,2,0.42196288296500456,Y
NA,480,2.55,1,0.3180792217742793,N
NA,560,3.16,1,0.4929105320331372,Y
NA,460,3.07,2,0.3624355540019139,N
NA,680,3.98,2,0.44928239707682627,Y
NA,220,2.83,3,0.13993422325744193,N
NA,540,3.13,2,0.367957130220153,N
NA,660,3.67,2,0.4190608996064863,Y
NA,540,3.46,4,0.10322812969216404,N
NA,780,3.63,4,0.18941205490252166,N
NA,460,3.58,2,0.41038923650539605,Y
NA,500,3.01,4,0.017360510411185717,N
NA,420,2.69,2,0.32835041150388666,N
NA,680,3.31,2,0.38472581554757734,N
NA,580,3.34,2,0.38754864719370935,N
NA,420,2.96,1,0.43312841553102954,Y
NA,560,3.43,3,0.2269190605460872,N
NA,460,3.64,3,0.2651687925041723,N
NA,620,3.71,1,0.6533215734893472,Y
NA,620,3.09,4,0.024059870445995165,N
NA,560,2.65,3,0.11995565106722166,N
NA,520,3.35,3,0.21341483214483287,N
NA,600,3.35,2,0.38849128183453385,N
NA,580,3.8,2,0.431674073028822,Y
NA,400,3.36,2,0.38943475135940175,N
NA,780,4,2,0.4512475810690021,Y
NA,540,3.78,2,0.42972737826943247,Y
NA,760,2.81,1,0.38944336298419924,N
NA,720,3.31,1,0.5379753019065565,Y
NA,560,3.36,1,0.5528960756490209,Y
NA,620,3.63,3,0.2632570060823319,N
NA,580,4,1,0.7276521584109891,Y
NA,640,3.12,3,0.17789897202708113,N
NA,700,3.65,2,0.4171293373507721,Y
NA,660,4,1,0.7276521584109891,Y
NA,620,3.75,2,0.42681142467456445,Y
NA,600,3.89,3,0.3157393819242527,N
